,,,,,,,,,,,,,,,
,ppt,Precip (mm/mon),,,,,,,,,,,,,
IA,30,tmax,1950,-0.99,-1.78,2.07,10.43,20.6,25.69,26.86,25.23,22.84,20.3,5.32,-4.49
IA,30,tmax,1951,-4.75,-2.05,1.17,10.59,22.72,23.47,27.06,25.34,20.84,16.17,3.06,-2.19
IA,30,tmax,1952,-1.95,2.06,3.02,15.85,20.34,27.7,29.53,26.25,24.72,15.49,9.41,-0.29
IA,30,tmax,1953,-1.6,0.4,6.01,10.46,20.68,27.3,28.15,28.18,24.93,21.64,10.57,1.41
IA,30,tmax,1954,-1.9,6.22,5.02,16.36,18.36,27.66,29.65,26.82,24.17,15.85,9.28,-0.04
IA,30,tmax,1955,-3.16,-1.67,5.01,18.77,23.68,24.83,31.63,31.41,25.99,17.11,4.29,-3.05
IA,30,tmax,1956,-2.51,-1.06,3.76,13.62,21.56,28.81,27.43,27.47,22.82,20.91,6.69,0.83
IA,30,tmax,1957,-5.17,1.75,6.05,14.7,19.59,25.38,29.8,27.33,21.62,15.07,5.23,2.22
IA,30,tmax,1958,-2,-4.01,4.94,15.29,23,23.43,26.22,28.02,23.34,19,9.82,-3.3
IA,30,tmax,1959,-5.4,-3.18,4.15,14.74,22.54,27.22,27.44,29.02,23.17,12.84,2.35,3.18
IA,30,tmax,1960,-2.33,-1.7,-1.15,15.43,19.98,24.67,27.78,27.73,24.12,16.84,9.31,-1.11
IA,30,tmax,1961,-2.93,2.91,5.14,10.73,19.8,26.98,27.4,28.08,22.12,17.69,6.97,-2.68
IA,30,tmax,1962,-5.77,-3.04,1.83,13.21,23.19,25.39,25.94,27.28,21.39,17.39,7.97,-0.35
IA,30,tmax,1963,-9.16,-3.43,7.78,16.54,20.47,28.74,28.57,26.66,23.42,23.04,10.17,-6.11
IA,30,tmax,1964,0.75,3.12,4.72,14.82,24.08,26.83,30.65,26.74,22.16,16.36,9.89,-3.02
IA,30,tmax,1965,-3.82,-3.01,-0.45,11.95,23.07,25.55,27.76,26.46,19.95,16.86,8.19,3.39
IA,30,tmax,1966,-6.64,-0.83,8.51,11.96,19.08,26.21,29.68,26.57,22.98,17.25,7.74,-0.73
IA,30,tmax,1967,-1.03,-3,6.69,14.72,19.22,25.62,27.15,25.58,22.24,15.3,4.85,0.92
IA,30,tmax,1968,-3.2,-1.3,11.28,16.58,19.48,26.31,27.61,27.27,22.09,16.87,6.49,-1.26
IA,30,tmax,1969,-6.08,-1.11,2.9,15.2,21.5,22.6,27.66,28.63,22.99,14.15,7.17,-1.48
IA,30,tmax,1970,-8.34,-0.61,3.81,15.2,22.32,26.33,29.22,27.57,22.27,16.48,5.85,-0.58
IA,30,tmax,1971,-6.49,-3.43,2.67,16.23,20.02,28.8,26.3,27.31,24.52,19.94,7.18,0.05
IA,30,tmax,1972,-5.36,-3.71,4.31,11.88,22.71,25.84,26.71,26.84,22.69,13.57,4.15,-4.11
IA,30,tmax,1973,-2.31,0.2,10.24,12.32,18.62,27.17,28.22,27.84,21.84,19.4,7.51,-2.19
IA,30,tmax,1974,-4.51,-1.01,5.57,15.8,18.51,24.42,30.06,25.83,21.13,16.51,7.32,-0.2
IA,30,tmax,1975,-2.47,-2.44,0.68,10,22.9,25.76,29.07,28.44,20.41,19.39,10.08,0.42
IA,30,tmax,1976,-2.49,4.5,7.21,16.6,20.56,27.45,30.06,27.76,24.07,14.26,4.44,-3.43
IA,30,tmax,1977,-10.43,1.17,10.06,19.17,26.17,27.28,30.09,25.23,22.85,15.15,6.2,-3.75
IA,30,tmax,1978,-8.29,-5.86,3.52,14.63,21.23,26.8,27.41,28.15,26.36,15.6,6.95,-2.89
IA,30,tmax,1979,-10.86,-6.64,3.37,11.47,21.06,26.29,27.84,26.24,24.82,16.06,6.31,3.02
IA,30,tmax,1980,-3,-3.21,3.38,15.52,23.24,26.71,30.06,28.09,23.81,14.2,8.51,-0.29
IA,30,tmax,1981,-0.28,1.72,9.37,17.51,20.47,26.33,27.78,26.44,22.66,14.99,8.89,-1.87
IA,30,tmax,1982,-9.05,-2.95,3.59,11.82,22.07,23.53,28.37,26.44,21.56,17.1,6.25,2.46
IA,30,tmax,1983,-1.22,1.01,5.95,10.73,18.24,26.6,30.62,31.05,23.63,15.95,7.06,-8.81
IA,30,tmax,1984,-4.48,3.4,1.69,13.68,19.12,26.94,27.65,29.36,23.51,16.88,7.67,0.92
IA,30,tmax,1985,-5.39,-4.06,8.68,17.22,23.93,25.2,29.38,25.71,22.56,15.34,2.5,-6.91
IA,30,tmax,1986,-2.97,-3.66,7.59,17.38,21.22,26.74,28.71,24.99,22.51,15.79,4.09,-0.85
IA,30,tmax,1987,-1.52,4.64,8.73,18.09,24.22,28.81,29.93,26.46,22.91,14.01,9.09,0.44
IA,30,tmax,1988,-5.87,-3.82,7.4,15.37,25.34,30.68,31.1,31.06,25.06,13.62,7.44,-0.19
IA,30,tmax,1989,1.01,-4.53,4.06,13.8,20.77,25.88,29.93,27.57,22,17.95,5.53,-5.7
IA,30,tmax,1990,2.43,1.86,8.8,14.61,18.75,25.69,27.25,26.81,24.48,16.05,10.62,-2.43
IA,30,tmax,1991,-6.1,1.19,7.84,15.6,22.36,28.22,28.53,27.3,21.82,15.65,2.05,0.12
IA,30,tmax,1992,-0.85,1.79,6.75,11.79,22.25,25.64,24.4,24.37,21.19,15.98,3.08,-1.5
IA,30,tmax,1993,-3.92,-3.51,2.4,11.65,20.02,24.08,26.04,26.34,18.79,15.41,5.4,-0.71
IA,30,tmax,1994,-8.5,-5.08,7.16,15.6,21.69,27.13,25.95,24.94,23.52,17.05,8.56,0.82
IA,30,tmax,1995,-4.67,-0.83,7.53,11.5,19.38,27.13,28.4,29.66,21.64,15.95,2.61,-1.92
IA,30,tmax,1996,-4.56,-2.35,3.64,13.22,17.68,25.08,26.54,26.77,21.98,16.69,1.47,-3.39
IA,30,tmax,1997,-5.75,-0.74,6.2,12.83,17.91,27.01,27.08,24.99,22.87,16.71,3.39,0.31
IA,30,tmax,1998,-2.05,4.23,4.3,15.04,24.26,24.21,28.13,27.1,25.99,16.38,8.58,3.46
IA,30,tmax,1999,-5.78,3.49,7,15.02,21.26,25.77,29.88,25.76,23.03,17,12.6,1.34
IA,30,tmax,2000,-2.23,3.23,11.35,15.45,22.22,24.7,26.75,26.79,23.81,18.27,4.69,-8.43
IA,30,tmax,2001,-2.7,-3.9,2.39,16.78,21.22,24.92,29,27.9,21.64,15.17,14.14,3.22
IA,30,tmax,2002,2.71,3.35,3.83,13.82,19.6,27.04,29.66,26.69,24.62,12.82,6.08,2.3
IA,30,tmax,2003,-3.42,-2.02,5.76,15.31,19.75,25.42,27.6,29.72,23.18,17.25,6.12,1.28
IA,30,tmax,2004,-4.54,-1.25,8,16.68,20.9,24.61,26.36,24.23,25.73,15.97,8.91,0.59
IA,30,tmax,2005,-4.18,2.03,6.01,17.68,18.93,28.26,28.85,27.36,25.77,17.65,8.79,-4.69
IA,30,tmax,2006,2.77,0.28,6.14,17.17,20.5,25.75,29.24,26.97,20.64,13.56,8.69,3.05
IA,30,tmax,2007,-1.36,-7,8.24,13.05,23.9,26.31,28.05,27.29,24.74,18.24,6.96,-3.39
IA,30,tmax,2008,-5.31,-5.01,2.97,12.44,19.55,25.69,27.97,26.59,23.35,15.61,6.97,-3.71
IA,30,tmax,2009,-7.73,0.41,7.07,13.89,20.5,25.6,24.18,24.94,23.59,11.24,10.81,-2.72
IA,30,tmax,2010,-6.72,-3.03,9.35,18.5,21.39,26.05,28.09,28.36,22.55,19.03,7.8,-4.96
IA,30,tmax,2011,-6.07,-2.03,4.85,12.95,20.34,25.85,30.08,27.51,20.9,18.37,9.06,2.35
IA,30,tmax,2012,0.15,2.09,15.56,15.54,24.39,27.52,32.03,27.85,23.9,14.9,8.79,1.69
IA,30,tmax,2013,-1.47,-2.08,1.1,10.56,20.56,24.84,27.71,27.03,24.99,15.64,5.3,-4.42
IA,30,tmax,2014,-6.8,-7.88,1.21,13.24,20.49,26.39,25.44,26.97,22.57,14.97,2.32,0.27
IA,30,tmax,2015,-3.09,-6.79,6.64,16.16,20.34,25.25,26.79,25.6,26.01,16.99,9.99,4.1
IA,30,tmean,1950,-7.57,-7.44,-2.72,4.57,14.4,19.14,20.1,19.15,16.29,13.26,-0.28,-9.75
IA,30,tmean,1951,-10.21,-7.06,-3.56,5.63,16.42,17.87,21.06,19.75,14.75,10.62,-2.35,-7.06
IA,30,tmean,1952,-7.65,-1.93,-1.36,9.1,14.33,21.59,23.19,20.15,16.88,7.07,3.25,-4.04
IA,30,tmean,1953,-6.08,-4.5,1.02,5.34,14.56,21.16,22.2,21.45,16.95,13.65,4.35,-3.43
IA,30,tmean,1954,-7.97,0.93,-0.55,9.79,11.96,21.83,23.36,20.78,17.71,10.24,3.86,-3.99
IA,30,tmean,1955,-7.49,-7.1,-0.78,12.04,16.61,18.55,25.39,24.22,18.04,10.77,-0.95,-8.21
IA,30,tmean,1956,-8.07,-6.89,-1.31,6.75,14.9,22.08,21.1,21.4,15.57,13.53,1.78,-3.84
IA,30,tmean,1957,-10.6,-2.78,0.51,8.9,13.78,19.58,23.78,21.32,15.48,9.03,1.21,-2.57
IA,30,tmean,1958,-6.04,-9.52,0.23,8.69,15.31,17.52,20.38,21.43,16.85,12,3.76,-8.59
IA,30,tmean,1959,-10.98,-9.19,-0.91,8.38,16.6,20.76,21.17,23.46,17.14,7.97,-2.95,-0.58
IA,30,tmean,1960,-6.65,-6.12,-6.91,9.3,14.07,18.47,21.31,21.62,17.99,10.09,3.56,-6.53
IA,30,tmean,1961,-8.45,-2.36,0.91,5.01,12.88,19.96,21.18,21.5,16.32,11.15,2.16,-7.34
IA,30,tmean,1962,-11.01,-7.51,-2.88,6.87,17.51,19.38,20.39,20.61,14.75,11.57,2.64,-5.53
IA,30,tmean,1963,-14.14,-9.42,1.97,9.75,13.9,21.49,22.23,20.29,17.01,15.8,4.69,-11.16
IA,30,tmean,1964,-4.73,-3.52,-1.03,8.58,17.52,20.1,23.85,20.03,16.19,9.07,4.18,-7.53
IA,30,tmean,1965,-9.4,-8.94,-4.9,6.82,16.57,19.25,21.52,20.42,14.83,10.67,2.96,-0.93
IA,30,tmean,1966,-12.35,-6.75,2.91,6.38,12.1,19.85,23.35,19.82,15.95,9.95,2.42,-5.17
IA,30,tmean,1967,-6.5,-9.22,1.38,8.8,12.51,19.94,20.6,19.02,15.31,9.37,0.43,-3.31
IA,30,tmean,1968,-7.97,-6.76,4.26,9.8,13.08,20.23,21.81,21.42,16.18,11.04,2.14,-5.84
IA,30,tmean,1969,-10.52,-5.53,-2.68,9.19,15.2,16.88,22.36,21.88,16.76,8.62,1.69,-5.96
IA,30,tmean,1970,-13.42,-6.76,-1.05,8.84,16.25,20.39,22.59,21.25,16.53,10.86,1.8,-5.86
IA,30,tmean,1971,-12.21,-7.97,-1.95,8.84,12.91,22.59,20.2,20.06,17.95,14.05,2.58,-3.85
IA,30,tmean,1972,-11.04,-9.44,-0.77,6.24,16.34,18.97,21.07,21.49,16.99,8.03,0.86,-8.61
IA,30,tmean,1973,-6.84,-4.17,5.37,7.19,12.91,21.06,22.52,22.01,16.66,13.33,2.78,-6.49
IA,30,tmean,1974,-8.84,-6.35,0.75,9.51,13.01,18.15,23.68,19.79,14.19,10.03,2.79,-4.02
IA,30,tmean,1975,-7.41,-7.05,-4.62,4.82,16.52,20.06,22.54,22.24,14.29,11.56,4.79,-3.91
IA,30,tmean,1976,-8.58,-1.47,1.94,9.87,13.66,20.41,22.79,20.51,16.02,7.43,-1.8,-10.04
IA,30,tmean,1977,-16.51,-4.93,4.77,12.09,19.02,20.35,23.61,19.33,17.09,9.25,1.27,-8.12
IA,30,tmean,1978,-13.84,-12.15,-2.04,8.48,15.03,20.17,21.83,21.29,19.36,9.43,1.65,-7.68
IA,30,tmean,1979,-15.78,-12.44,-1.08,6.1,14.07,19.85,21.56,20.57,17.61,10.01,1.83,-2.36
IA,30,tmean,1980,-7.35,-8.27,-2.03,8.8,15.78,20.09,23.47,22.14,17.38,8.18,2.87,-5
IA,30,tmean,1981,-6.31,-3.89,3.1,10.94,13.81,19.97,22.05,20.52,16.14,8.96,3.86,-6.42
IA,30,tmean,1982,-14.55,-8.03,-1.05,5.63,16.62,17.2,22.48,20.51,15.81,10.9,1.48,-1.84
IA,30,tmean,1983,-5.13,-2.85,1.69,5.54,12.48,20.25,24.17,24.24,16.94,10.35,3.33,-13.18
IA,30,tmean,1984,-9.19,-1.37,-2.84,8.09,12.97,20.82,21.11,22.48,16.2,11.23,2.15,-4.23
IA,30,tmean,1985,-10.76,-8.87,3.36,10.94,16.87,18.56,22.16,19.39,17.11,9.84,-1.64,-12.79
IA,30,tmean,1986,-7.91,-7.72,2.08,10.81,15.4,20.69,23.22,18.89,17.27,10.22,-1.11,-4.42
IA,30,tmean,1987,-5.83,-0.85,3.67,10.8,17.28,22.14,24.02,21.07,16.66,7.44,4.58,-2.84
IA,30,tmean,1988,-11.28,-9.18,1.7,8.28,17.25,22.45,23.73,24.11,17.68,6.97,2.45,-5.3
IA,30,tmean,1989,-3.48,-10.27,-0.78,7.63,13.98,19.39,23.41,21.17,15.32,10.86,0.04,-10.83
IA,30,tmean,1990,-2.48,-3.65,3.43,8.42,12.84,20.09,21.85,21.33,18.26,9.39,4.8,-7.38
IA,30,tmean,1991,-11.46,-4.1,2.47,9.8,17.09,22.45,22.39,21.41,15.67,9.43,-2.35,-4.37
IA,30,tmean,1992,-4.94,-1.64,1.72,6.68,14.98,18.79,19.26,18.03,15.07,9.36,0.19,-5.47
IA,30,tmean,1993,-8.83,-7.7,-1.77,6.17,14.5,18.5,21.39,21.3,13.42,9.1,0.66,-4.5
IA,30,tmean,1994,-13.62,-10.57,1.48,8.74,14.49,21,20.52,19.12,17.61,11.53,3.73,-3.28
IA,30,tmean,1995,-8.44,-5.77,1.98,5.89,13.38,21.16,22.4,24.31,15,9.75,-2.25,-6.27
IA,30,tmean,1996,-9.9,-7.16,-2.47,6.49,12.48,19.8,20.56,20.5,15.84,10.25,-2.54,-7.43
IA,30,tmean,1997,-10.54,-5.07,1.08,6.36,11.51,20.57,21.73,19.58,16.85,10.29,-0.4,-2.99
IA,30,tmean,1998,-5.43,0.88,0.38,9.39,17.86,19.05,22.15,21.92,18.97,10.82,3.9,-1.91
IA,30,tmean,1999,-10.23,-0.81,1.2,9.59,15.56,20.26,24.16,20.26,15.84,9.71,5.81,-3.8
IA,30,tmean,2000,-7.47,-1.97,5.18,8.78,15.95,19.04,21.41,21.33,17.09,11.93,0.29,-12.96
IA,30,tmean,2001,-7.42,-8.77,-2.22,10.36,15.57,19.2,22.85,22.01,15.42,9.13,8.3,-1.45
IA,30,tmean,2002,-2.52,-1.98,-1.67,8,12.79,21.08,23.88,20.74,17.67,7.32,1.03,-2.85
IA,30,tmean,2003,-8.66,-8.16,0.17,8.57,13.38,19.02,21.73,22.73,16,9.92,1.48,-3.04
IA,30,tmean,2004,-9.1,-6.08,3.4,9.29,14.7,18.92,20.74,18.37,18.34,10.01,3.98,-4.27
IA,30,tmean,2005,-8.58,-2.23,0.49,10.9,12.97,22.22,22.76,20.95,18.73,10.67,3.11,-8.62
IA,30,tmean,2006,-1.2,-5.56,1.18,10.63,14.69,19.71,23.39,21.52,14.74,7.77,3.44,-1.54
IA,30,tmean,2007,-6.18,-11.62,3.06,7.1,17.17,20.39,21.68,21.99,17.56,12.74,1.63,-7.5
IA,30,tmean,2008,-10.14,-10.26,-1.94,7.16,12.98,19.96,22.1,20.2,17.16,9.26,2.21,-9.56
IA,30,tmean,2009,-13.45,-5.17,1.36,7.5,14.47,19.77,18.79,19.41,16.91,6.61,5.52,-6.98
IA,30,tmean,2010,-10.74,-8.36,3.38,11.69,15.25,20.62,22.9,22.7,16.2,11.12,2.37,-9.41
IA,30,tmean,2011,-10.69,-6.79,-0.15,7.26,14.3,20.43,24.47,21.29,14.94,11.14,3.65,-2.18
IA,30,tmean,2012,-5.1,-2.22,9.54,9.17,17.4,21.05,25.41,20.7,15.79,8.57,2.98,-3.03
IA,30,tmean,2013,-6.99,-6.58,-3.59,5.34,14.64,19.78,21.73,20.88,18.21,9.57,0.01,-9.43
IA,30,tmean,2014,-12.96,-13.67,-3.85,6.9,14.4,20.95,19.8,21.31,15.91,8.89,-2.74,-2.89
IA,30,tmean,2015,-7.8,-12.43,0.16,9.2,15.07,19.67,21.18,19.77,19.73,10.67,4.86,0.72
IA,30,tmin,1950,-14.15,-13.11,-7.51,-1.29,8.2,12.59,13.33,13.07,9.73,6.22,-5.87,-15.01
IA,30,tmin,1951,-15.67,-12.06,-8.29,0.68,10.12,12.27,15.06,14.16,8.66,5.07,-7.76,-11.93
IA,30,tmin,1952,-13.34,-5.91,-5.74,2.36,8.33,15.48,16.85,14.04,9.04,-1.35,-2.92,-7.78
IA,30,tmin,1953,-10.57,-9.4,-3.97,0.23,8.44,15.02,16.25,14.73,8.97,5.65,-1.87,-8.27
IA,30,tmin,1954,-14.05,-4.36,-6.11,3.24,5.56,16,17.07,14.74,11.26,4.63,-1.55,-7.95
IA,30,tmin,1955,-11.82,-12.53,-6.57,5.32,9.53,12.28,19.15,17.03,10.09,4.43,-6.19,-13.37
IA,30,tmin,1956,-13.63,-12.72,-6.38,-0.1,8.24,15.34,14.78,15.33,8.31,6.16,-3.13,-8.51
IA,30,tmin,1957,-16.02,-7.32,-5.02,3.1,7.98,13.78,17.75,15.3,9.33,3,-2.81,-7.35
IA,30,tmin,1958,-10.08,-15.02,-4.49,2.09,7.61,11.61,14.54,14.83,10.37,5,-2.3,-13.88
IA,30,tmin,1959,-16.56,-15.21,-5.98,2.02,10.66,14.3,14.89,17.9,11.11,3.11,-8.25,-4.33
IA,30,tmin,1960,-10.97,-10.54,-12.68,3.17,8.17,12.27,14.84,15.52,11.87,3.34,-2.18,-11.95
IA,30,tmin,1961,-13.97,-7.63,-3.33,-0.72,5.96,12.93,14.97,14.91,10.53,4.6,-2.64,-12
IA,30,tmin,1962,-16.26,-11.98,-7.6,0.53,11.83,13.37,14.84,13.94,8.12,5.75,-2.69,-10.7
IA,30,tmin,1963,-19.11,-15.42,-3.84,2.95,7.34,14.24,15.88,13.91,10.61,8.57,-0.78,-16.22
IA,30,tmin,1964,-10.22,-10.16,-6.79,2.35,10.95,13.37,17.05,13.31,10.23,1.78,-1.53,-12.04
IA,30,tmin,1965,-14.98,-14.86,-9.36,1.7,10.07,12.96,15.29,14.37,9.71,4.48,-2.27,-5.25
IA,30,tmin,1966,-18.07,-12.66,-2.7,0.8,5.13,13.49,17.01,13.07,8.92,2.65,-2.9,-9.62
IA,30,tmin,1967,-11.98,-15.43,-3.93,2.88,5.8,14.27,14.05,12.47,8.37,3.45,-3.99,-7.54
IA,30,tmin,1968,-12.74,-12.22,-2.75,3.03,6.67,14.16,16.01,15.57,10.27,5.21,-2.21,-10.41
IA,30,tmin,1969,-14.96,-9.95,-8.26,3.17,8.91,11.16,17.06,15.13,10.54,3.09,-3.78,-10.45
IA,30,tmin,1970,-18.49,-12.92,-5.9,2.49,10.18,14.45,15.97,14.93,10.79,5.25,-2.24,-11.13
IA,30,tmin,1971,-17.94,-12.52,-6.56,1.45,5.8,16.37,14.1,12.81,11.39,8.16,-2.02,-7.76
IA,30,tmin,1972,-16.72,-15.16,-5.85,0.6,9.97,12.1,15.43,16.13,11.29,2.51,-2.42,-13.11
IA,30,tmin,1973,-11.38,-8.54,0.51,2.06,7.19,14.95,16.82,16.17,11.47,7.26,-1.94,-10.79
IA,30,tmin,1974,-13.17,-11.68,-4.07,3.22,7.51,11.86,17.3,13.76,7.24,3.54,-1.74,-7.84
IA,30,tmin,1975,-12.35,-11.66,-9.93,-0.36,10.13,14.37,16.01,16.03,8.17,3.73,-0.51,-8.24
IA,30,tmin,1976,-14.66,-7.44,-3.34,3.14,6.76,13.37,15.52,13.26,7.97,0.61,-8.05,-16.66
IA,30,tmin,1977,-22.6,-11.03,-0.52,5.02,11.87,13.42,17.13,13.44,11.34,3.34,-3.67,-12.49
IA,30,tmin,1978,-19.4,-18.44,-7.58,2.33,8.82,13.54,16.26,14.43,12.37,3.26,-3.64,-12.47
IA,30,tmin,1979,-20.7,-18.23,-5.53,0.72,7.07,13.41,15.28,14.91,10.4,3.96,-2.66,-7.73
IA,30,tmin,1980,-11.7,-13.34,-7.44,2.08,8.32,13.47,16.88,16.19,10.95,2.15,-2.78,-9.71
IA,30,tmin,1981,-12.34,-9.51,-3.18,4.37,7.16,13.6,16.31,14.59,9.62,2.94,-1.16,-10.97
IA,30,tmin,1982,-20.05,-13.11,-5.69,-0.56,11.17,10.86,16.59,14.57,10.07,4.7,-3.28,-6.14
IA,30,tmin,1983,-9.04,-6.7,-2.57,0.35,6.71,13.9,17.73,17.43,10.25,4.74,-0.41,-17.54
IA,30,tmin,1984,-13.9,-6.14,-7.38,2.5,6.81,14.69,14.57,15.6,8.9,5.58,-3.38,-9.38
IA,30,tmin,1985,-16.13,-13.67,-1.96,4.65,9.82,11.92,14.94,13.07,11.66,4.33,-5.77,-18.67
IA,30,tmin,1986,-12.85,-11.8,-3.43,4.24,9.56,14.64,17.74,12.79,12.02,4.65,-6.32,-7.98
IA,30,tmin,1987,-10.14,-6.35,-1.38,3.51,10.33,15.47,18.12,15.67,10.41,0.86,0.06,-6.13
IA,30,tmin,1988,-16.7,-14.55,-4,1.18,9.17,14.21,16.36,17.15,10.3,0.33,-2.54,-10.4
IA,30,tmin,1989,-7.97,-16.01,-5.61,1.47,7.18,12.89,16.89,14.76,8.64,3.77,-5.44,-15.97
IA,30,tmin,1990,-7.38,-9.16,-1.94,2.24,6.93,14.49,16.45,15.84,12.04,2.73,-1.02,-12.33
IA,30,tmin,1991,-16.82,-9.39,-2.9,4,11.82,16.68,16.26,15.52,9.53,3.21,-6.75,-8.85
IA,30,tmin,1992,-9.04,-5.07,-3.32,1.56,7.72,11.95,14.12,11.7,8.95,2.74,-2.7,-9.44
IA,30,tmin,1993,-13.74,-11.89,-5.94,0.68,8.98,12.92,16.75,16.27,8.05,2.79,-4.08,-8.29
IA,30,tmin,1994,-18.74,-16.05,-4.2,1.89,7.29,14.87,15.08,13.3,11.7,6.01,-1.09,-7.38
IA,30,tmin,1995,-12.22,-10.71,-3.57,0.28,7.37,15.2,16.39,18.95,8.35,3.55,-7.12,-10.62
IA,30,tmin,1996,-15.24,-11.96,-8.58,-0.24,7.29,14.52,14.57,14.24,9.69,3.8,-6.56,-11.47
IA,30,tmin,1997,-15.33,-9.39,-4.03,-0.1,5.11,14.12,16.38,14.16,10.82,3.88,-4.19,-6.29
IA,30,tmin,1998,-8.82,-2.46,-3.54,3.74,11.46,13.89,16.17,16.75,11.95,5.27,-0.78,-7.28
IA,30,tmin,1999,-14.69,-5.11,-4.59,4.16,9.86,14.76,18.45,14.76,8.65,2.43,-0.98,-8.94
IA,30,tmin,2000,-12.72,-7.17,-0.98,2.11,9.68,13.37,16.07,15.87,10.36,5.59,-4.12,-17.49
IA,30,tmin,2001,-12.15,-13.66,-6.83,3.94,9.93,13.48,16.69,16.12,9.19,3.1,2.47,-6.13
IA,30,tmin,2002,-7.75,-7.3,-7.16,2.18,5.98,15.12,18.1,14.78,10.72,1.82,-4.02,-8
IA,30,tmin,2003,-13.89,-14.3,-5.42,1.82,7,12.62,15.86,15.74,8.82,2.6,-3.15,-7.35
IA,30,tmin,2004,-13.67,-10.91,-1.19,1.91,8.51,13.24,15.11,12.5,10.96,4.05,-0.95,-9.13
IA,30,tmin,2005,-12.98,-6.49,-5.03,4.12,7.02,16.18,16.67,14.54,11.71,3.69,-2.57,-12.55
IA,30,tmin,2006,-5.16,-11.41,-3.77,4.09,8.88,13.66,17.54,16.08,8.83,1.97,-1.8,-6.12
IA,30,tmin,2007,-11,-16.24,-2.12,1.15,10.45,14.47,15.33,16.69,10.38,7.24,-3.69,-11.6
IA,30,tmin,2008,-14.96,-15.52,-6.84,1.88,6.42,14.23,16.24,13.8,10.97,2.91,-2.56,-15.4
IA,30,tmin,2009,-19.18,-10.74,-4.35,1.11,8.44,13.94,13.4,13.89,10.23,1.99,0.22,-11.25
IA,30,tmin,2010,-14.76,-13.7,-2.59,4.87,9.11,15.2,17.7,17.04,9.85,3.21,-3.07,-13.85
IA,30,tmin,2011,-15.31,-11.55,-5.14,1.57,8.26,15,18.86,15.07,8.99,3.91,-1.76,-6.7
IA,30,tmin,2012,-10.34,-6.54,3.52,2.81,10.42,14.58,18.79,13.55,7.68,2.25,-2.82,-7.74
IA,30,tmin,2013,-12.52,-11.07,-8.28,0.11,8.72,14.72,15.76,14.74,11.44,3.5,-5.28,-14.45
IA,30,tmin,2014,-19.12,-19.47,-8.92,0.56,8.31,15.51,14.17,15.65,9.25,2.82,-7.81,-6.06
IA,30,tmin,2015,-12.51,-18.06,-6.32,2.24,9.81,14.1,15.57,13.94,13.44,4.35,-0.26,-2.66
IA,40,ppt,1950,24.26,34.97,22.02,40.88,140.05,143.34,113.39,86.78,26.74,54.41,10.96,7.4
IA,40,ppt,1951,10.02,59.4,94.98,140.83,120.64,161.98,101.48,202.46,72.91,62,13.33,19.28
IA,40,ppt,1952,29.99,19.6,73.17,55.56,108.84,147.76,128.64,126.26,24.48,0,42.18,20.39
IA,40,ppt,1953,19.91,30.08,56.94,80.7,68.45,120.35,55.09,57.72,16.36,14.94,43.02,27.94
IA,40,ppt,1954,4.58,57.16,39.55,90.21,104.21,165.56,37.38,177.47,48.34,93.07,2.75,5.49
IA,40,ppt,1955,14.38,28.3,24.65,79.95,37.68,76.12,94.33,44.8,65.02,17.58,3.18,10.59
IA,40,ppt,1956,11.57,8.26,8.95,39.6,80.59,68.1,97.42,99.13,43.96,38.37,62.77,6.95
IA,40,ppt,1957,10.2,6.28,46.95,37.86,106.19,173.57,88.83,91.62,94.51,86.44,69.52,14.93
IA,40,ppt,1958,15.68,25.26,19.52,59.97,38.73,91.88,214.5,58.53,55.92,6.4,20.36,3.76
IA,40,ppt,1959,12.42,26.03,78.73,70.23,217.79,101.7,38.58,101.52,71.6,55.72,44.16,43.29
IA,40,ppt,1960,38.45,28.14,38.75,54.16,153.15,89.18,71.59,158.06,80.53,25.03,9.91,13.18
IA,40,ppt,1961,6.58,35.78,95.56,45.8,79.04,114.51,91.53,100.75,123.6,75.65,36.65,35.15
IA,40,ppt,1962,6.82,54.7,41.96,35.53,150.62,104.73,138.56,114.11,63.08,46.91,7.92,7.1
IA,40,ppt,1963,17.77,11.87,58.24,72.32,76.06,118.23,88.81,115.84,67.93,31.87,11.54,10.7
IA,40,ppt,1964,10.53,7.63,35.61,139.61,126.52,125.16,111.19,117.58,97.25,9.74,21.11,23.72
IA,40,ppt,1965,14.82,40.77,68.23,90.49,143.11,97.73,74.3,73.57,260.22,30.21,19.11,25.94
IA,40,ppt,1966,17.65,14.26,38.15,21.27,79.76,145.35,70.3,88.91,35.26,22.73,4.26,17.83
IA,40,ppt,1967,19.55,5.83,19.37,66.04,65.33,314.57,44.63,46.15,59.62,45.38,4.01,16.15
IA,40,ppt,1968,14.15,3.51,15.37,99.31,66.78,124.96,82.34,104.6,118.33,122.34,27.01,48.53
IA,40,ppt,1969,29.85,37.57,25.92,65.1,81.88,143.32,129.48,72.49,56.7,76.31,7.31,39.2
IA,40,ppt,1970,5.41,2.29,54.52,45.8,103.6,72.55,61.68,70.84,101.35,115.18,46.18,16.74
IA,40,ppt,1971,21.76,71.11,18.7,31.42,102.38,100.93,84.83,32.56,40.24,113.08,62.76,23.79
IA,40,ppt,1972,11.72,17.97,22.24,92.15,131.75,81.32,155.13,92.42,157.69,72.97,65.76,40.3
